Entity,Code,EntityScenario,Year,pcgdpthousand2005usd,pcgdpgrowth
World,OWID_WRL,World Observations,1960,4.025628413370121,NA
World,OWID_WRL,World Observations,1961,4.090533645926896,1.5994411090972216
World,OWID_WRL,World Observations,1962,4.230234102151382,3.3581897504768143
World,OWID_WRL,World Observations,1963,4.369918913557794,3.2487118860413444
World,OWID_WRL,World Observations,1964,4.575451969697598,4.5961031353272785
World,OWID_WRL,World Observations,1965,4.721319896983614,3.138291465846832
World,OWID_WRL,World Observations,1966,4.874120012430984,3.185117818814698
World,OWID_WRL,World Observations,1967,4.961123264399685,1.7692601809007558
World,OWID_WRL,World Observations,1968,5.1266901036713,3.282806729200738
World,OWID_WRL,World Observations,1969,5.316242026852886,3.6306420829231634
World,OWID_WRL,World Observations,1970,5.4694376226003785,2.8409132108109914
World,OWID_WRL,World Observations,1971,5.579476882180724,1.9919223361742455
World,OWID_WRL,World Observations,1972,5.741087035570437,2.855354813536981
World,OWID_WRL,World Observations,1973,6.0015832726870775,4.437474177858047
World,OWID_WRL,World Observations,1974,6.02085221240078,0.32054996239314626
World,OWID_WRL,World Observations,1975,6.014077252403813,-0.11258829114784152
World,OWID_WRL,World Observations,1976,6.177450777913735,2.680276097491441
World,OWID_WRL,World Observations,1977,6.321515617355615,2.305330139425932
World,OWID_WRL,World Observations,1978,6.495995030031786,2.7226845496790997
World,OWID_WRL,World Observations,1979,6.628561161233099,2.020192344602312
World,OWID_WRL,World Observations,1980,6.6650847250248395,0.5494904257791422
World,OWID_WRL,World Observations,1981,6.667907850425301,0.04234796391997531
World,OWID_WRL,World Observations,1982,6.6277388031056255,-0.6042454434130651
World,OWID_WRL,World Observations,1983,6.693245505553882,0.98351937024778735
World,OWID_WRL,World Observations,1984,6.88744516233893,2.860132814734162
World,OWID_WRL,World Observations,1985,7.009574366938226,1.7576768683479127
World,OWID_WRL,World Observations,1986,7.123727709114865,1.6154161847978132
World,OWID_WRL,World Observations,1987,7.261279359877219,1.9124890612551626
World,OWID_WRL,World Observations,1988,7.435556827980248,2.371743622895761
World,OWID_WRL,World Observations,1989,7.541747831220735,1.4180493101344283
World,OWID_WRL,World Observations,1990,7.55230033839951,0.13982344271625813
World,OWID_WRL,World Observations,1991,7.5299374694356676,-0.29654184141638673
World,OWID_WRL,World Observations,1992,7.531530651974029,0.021155740349598773
World,OWID_WRL,World Observations,1993,7.538029331558042,0.08624910075640813
World,OWID_WRL,World Observations,1994,7.6334431481219,1.2578222008874373
World,OWID_WRL,World Observations,1995,7.757223703395298,1.608549199364262
World,OWID_WRL,World Observations,1996,7.935898461404698,2.277207521976221
World,OWID_WRL,World Observations,1997,8.128185450666601,2.394113162994538
World,OWID_WRL,World Observations,1998,8.21574532609659,1.071476798649229
World,OWID_WRL,World Observations,1999,8.390061965087211,2.0995431205016235
World,OWID_WRL,World Observations,2000,8.671707568793083,3.3017816777648257
World,OWID_WRL,World Observations,2001,8.759039969251996,1.0020583573502329
World,OWID_WRL,World Observations,2002,8.883140671920827,1.406886735321633
World,OWID_WRL,World Observations,2003,9.100003471577965,2.4119621270143554
World,OWID_WRL,World Observations,2004,9.44345638416063,3.7047260518723313
World,OWID_WRL,World Observations,2005,9.752652514909888,3.2217245287831986
World,OWID_WRL,World Observations,2006,10.128439619505011,3.78079699876519
World,OWID_WRL,World Observations,2007,10.52296172110244,3.8212429301911044
World,OWID_WRL,World Observations,2008,10.672044055703136,1.4067917211903147
World,OWID_WRL,World Observations,2009,10.473291525421189,-1.87992650153741
World,OWID_WRL,World Observations,2010,10.871431519969713,3.7310034724117536
World,OWID_WRL,World Observations,2011,11.160891985909993,2.627749378045463
World,OWID_WRL,World Observations,2012,11.37967271407612,1.9412787725315184
World,OWID_WRL,World Observations,2013,11.617318324370098,2.0668275217098575
World,OWID_WRL,World Observations,2014,11.878459652126015,2.222970286165493
World,OWID_WRL,World Observations,2015,12.138921974157011,2.169033557950728
World,OWID_WRL,World Observations,2016,12.389121607615525,2.04018156631256
World,OWID_WRL,World Observations,2017,12.712517976611688,2.5768377604356907
World,OWID_WRL,World Observations,2018,13.020854023675518,2.3965052382434404
World,OWID_WRL,World Observations,2019,13.23877537789097,1.6597824268493433
World,OWID_WRL,World Observations,2020,12.674289912936752,-4.357452685408969
World,WBGroups,World SSP1,2017,13.24988530993077,NA
World,WBGroups,World SSP1,2018,13.746328041181405,3.678284035703472
World,WBGroups,World SSP1,2019,14.259889487302754,3.667892822008101
World,WBGroups,World SSP1,2020,14.790569648294813,3.6539126637213037
World,WBGroups,World SSP1,2021,15.355487239028296,3.7483093254740307
World,WBGroups,World SSP1,2022,15.928964187197133,3.6666214023509447
World,WBGroups,World SSP1,2023,16.528119207672038,3.6924025786263748
World,WBGroups,World SSP1,2024,17.1358335855823,3.610867744665125
World,WBGroups,World SSP1,2025,17.786344750669343,3.725921178400693
World,WBGroups,World SSP1,2026,18.471093345497803,3.777597415890721
World,WBGroups,World SSP1,2027,19.172960655196977,3.72939990310055
World,WBGroups,World SSP1,2028,19.900506037202224,3.7244173172371386
World,WBGroups,World SSP1,2029,20.65372949151353,3.7150747603575063
World,WBGroups,World SSP1,2030,21.43263101813091,3.701866659495723
World,WBGroups,World SSP1,2031,22.228651259618996,3.64674794427593
World,WBGroups,World SSP1,2032,23.0417902159778,3.592747910187022
World,WBGroups,World SSP1,2033,23.872047887207312,3.539869686287034
World,WBGroups,World SSP1,2034,24.71086491587218,3.4534792035446404
World,WBGroups,World SSP1,2035,25.566800659407757,3.4051638553174612
World,WBGroups,World SSP1,2036,26.431295760378692,3.3254092928556744
World,WBGroups,World SSP1,2037,27.29579086134963,3.2183755865391017
World,WBGroups,World SSP1,2038,28.177404677191277,3.1787894786902804
World,WBGroups,World SSP1,2039,29.06757785046828,3.110298563427749
World,WBGroups,World SSP1,2040,29.966310381180634,3.045037352342783
World,WBGroups,World SSP1,2041,30.87360226932835,2.982775994887321
World,WBGroups,World SSP1,2042,31.789453514911422,2.923306100911205
World,WBGroups,World SSP1,2043,32.713864117929845,2.866438288756701
World,WBGroups,World SSP1,2044,33.63827472094827,2.786558006308848
World,WBGroups,World SSP1,2045,34.5626853239667,2.711009400947617
World,WBGroups,World SSP1,2046,35.48709592698513,2.639449412294237
World,WBGroups,World SSP1,2047,36.4200658874389,2.5950748011749347
